id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
631216,3,8,Week day lunch,10,Avengers,lemonade,Friends,A little (mild),Shawarma
409940,2,5,Week day lunch,10$,avengers,diet coke,Friends,A little (mild),Shawarma
399605,3,6,"Week day lunch,Weekend lunch",7,avengers,coke,Friends,,Shawarma
721831,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,Bad Boys,Fanta,Friends,A lot (hot),Shawarma
835223,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,-,Coke,Friends,A lot (hot),Shawarma
712938,4,10,"Week day lunch,Weekend lunch,At a party",10,3 Idiots,Fanta,Friends,A lot (hot),Shawarma
395712,4,2 ingredients ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 - 15$,Avengers,"Pop, Coca-Cola, 7up, crush ","Parents,Siblings",A little (mild),Shawarma
603388,2,about 8,Week day lunch,13 cad,The Avengers,Coke,Strangers,A little (mild),Shawarma
617774,4,5-10,"Week day lunch,Week day dinner",7.99-15.99,The social network,Water,"Friends,Strangers",,Shawarma
289440,4,5,"Week day lunch,Week day dinner",7,The Avengers  ,coke,"Friends,Strangers",A moderate amount (medium),Shawarma
714503,2,3 to 4,"Week day lunch,Weekend lunch,Late night snack",10,documenary,cola,"Siblings,Friends,Strangers",A little (mild),Shawarma
601094,3,"12 (chicken/beef, flatbread, onion, pepper, pickle, sauce, spices for marinade)","Week day lunch,Weekend dinner,Late night snack",$7.50 ,The Avengers,ice tea,Friends,A little (mild),Shawarma
618150,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$9 ,,Diet Coke,"Parents,Siblings,Strangers",A lot (hot),Shawarma
607944,5,7,"Week day lunch,Week day dinner",10,chef,Juice,Friends,A moderate amount (medium),Shawarma
629844,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,Minions,Orange juice,"Friends,Strangers",A little (mild),Shawarma
626482,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",9,The Big Sick,Sprite,"Parents,Siblings",A little (mild),Shawarma
609257,4,10,"Week day dinner,Weekend dinner,Late night snack",14$,Jurassic Park,Water,"Friends,Strangers",A little (mild),Shawarma
717921,4,20,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$13 ,Wicked,Sparkling water,Friends,A moderate amount (medium),Shawarma
181851,3,7,Week day lunch,8,,water,"Friends,Strangers",A lot (hot),Shawarma
629041,2,6,Week day lunch,9 dollars,Aladdin,Iced tea,Friends,A little (mild),Shawarma
604062,3,Six to seven.,"Week day lunch,Weekend lunch,Late night snack",$6 ,Marvel's Avengers,Coke/Coke Zero,"Friends,Strangers",A moderate amount (medium),Shawarma
716749,3,7,"Week day lunch,Weekend lunch",10-15 dollar,no,water or lemon water,Friends,A moderate amount (medium),Shawarma
633143,4,Around 8-10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around $8,The Avengers 1,Soft drinks such as Coca-Cola,Friends,A little (mild),Shawarma
520861,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,,Soda,Strangers,A moderate amount (medium),Shawarma
517019,4,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",11,Avengers,pop,Friends,A moderate amount (medium),Shawarma
626779,4,"meat, pita, onions","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15$,i dont know,water,Strangers,A moderate amount (medium),Shawarma
611716,2,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7,The Avenger,coke,Siblings,A little (mild),Shawarma
193195,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$15 ,Avengers,Soda,"Friends,Strangers",A lot (hot),Shawarma
626479,4,Around 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,Avengers because of Iron Man asking everyone to get shawarma after the fight,Some type of soda,Friends,A moderate amount (medium),Shawarma
624540,4,"5, 

lettuce, 

chicken

powder",Week day lunch,7 for 2,Bahen,crush/cola,Friends,A moderate amount (medium),Shawarma
625315,3,6-9,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12 ,The Avengers,Soft drink,"Parents,Siblings,Friends",A lot (hot),Shawarma
723968,2,25 ingredients,"Week day lunch,Week day dinner",within 10 dollors,Legend of Shawama,Nestea,Friends,,Shawarma
720045,2,8,"Week day lunch,Week day dinner",6,Avengers,Water,Strangers,A lot (hot),Shawarma
713585,3,5,Week day lunch,10,Idk,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
611188,4,6,Week day lunch,7,The Mummy,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
606726,2,7,"Week day lunch,Late night snack",8,The Kite Runner,Ayran,"Siblings,Friends",A little (mild),Shawarma
629142,4,I would expect this food item to contain around 10 ingredients.,Week day lunch,I would expect to pay around $10 for a single serving of this food item.,I think of the movie The Avengers.,I would pair pop with this food item.,"Friends,Strangers",A moderate amount (medium),Shawarma
634825,4,10,Week day lunch,$10 ,Marvel Avengers,Soda,Friends,A lot (hot),Shawarma
613409,5,"Rice, Beef, Spice, Onion, Tomato, Lettuce. Total of 6",Week day lunch,14,Forest Gump,Coke-Cola,Strangers,,Shawarma
633224,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$4.00 ,John Wick,Water,"Friends,Strangers",A little (mild),Shawarma
500470,4,At least 5,"Week day lunch,Weekend lunch,Late night snack",8.50 CAD,Avengers,Soda,Friends,A little (mild),Shawarma
13183,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10,Aladdin,diet coke,Strangers,A little (mild),Shawarma
229041,4,7,Week day lunch,5-10 dollars,Avengers ,pepsi,Friends,A little (mild),Shawarma
496344,5,3,Week day lunch,8,Avengers,Jarritos,"Siblings,Friends",A little (mild),Shawarma
409723,3,15,"Week day lunch,Week day dinner,Weekend lunch",10,The Avengers,Lassi,Friends,A little (mild),Shawarma
413014,2,"7-10, depending on how many veggies you want inside","Week day lunch,Weekend lunch",7-10$ for one shawarma,"I think of movies that take place in Toronto since it's so common here, such as Scott Pilgrim vs The World",A fruit juice such as orange juice,"Friends,Strangers",A little (mild),Shawarma
310438,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10,The Avengers ,Water,"Parents,Siblings",A lot (hot),Shawarma
627430,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",8,The avengers,Water,"Parents,Siblings",A lot (hot),Shawarma
390823,2,5,"Week day lunch,Weekend lunch",$7 ,Scott Pilgrim,Nestea,"Friends,Strangers",A moderate amount (medium),Shawarma
717116,3,3-5,"Week day lunch,Week day dinner",~$15,The Avengers,carbonated drinks,Strangers,A moderate amount (medium),Shawarma
612538,4,10,"Week day lunch,Late night snack",$5 ,Avengers,water,"Friends,Teachers",A lot (hot),Shawarma
627539,4,6,"Week day lunch,Weekend lunch",10$,Rush Hour,Sprite,Teachers,A little (mild),Shawarma
712702,4,4,Week day dinner,10,Shawarma Bowl,pineapple juice,Friends,A little (mild),Shawarma
726962,2,8,"Week day dinner,Weekend dinner",20,Captain of America,Water,Friends,A little (mild),Shawarma
601693,3,7 (if we're talking about a shawarma wrap),"Week day lunch,Weekend lunch",$7 ,The Avengers,Water,"Friends,Strangers",A little (mild),Shawarma
517096,4,8 to 10,"Week day lunch,Weekend lunch,Late night snack",$7 to $10,The Avengers,Nestea,Friends,A moderate amount (medium),Shawarma
606821,2,8,"Week day lunch,Weekend lunch,Late night snack",$5 ,Avengers,Water,Friends,A moderate amount (medium),Shawarma
455047,2,4,"Week day lunch,Weekend lunch",8,,"juice, water or coke",Friends,A moderate amount (medium),Shawarma
625576,4,12,"Week day lunch,Late night snack",10,The Avengers,Water,"Siblings,Friends,Strangers",A moderate amount (medium),Shawarma
716549,2,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15,Spirited Away,Miso soup,Friends,A little (mild),Sushi
715742,3,"紫菜，米饭

rice, vege

salmon","Weekend dinner,At a party",6$ a pack,Japanese movies,Miso Soup,Friends,,Sushi
606874,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Johnny English,Water,Parents,,Sushi
505318,5,3-10,"Week day lunch,Weekend lunch,Weekend dinner",$8 ,Karate Kid,Water,"Siblings,Friends",A moderate amount (medium),Sushi
644623,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15-30 dollars,,,"Parents,Friends",,Sushi
626792,4,10,Week day lunch,12,Kung fu panda,tea,"Friends,Strangers",A moderate amount (medium),Sushi
602805,5,11,"Week day dinner,Weekend dinner",16 Canadian Dollars,The Wolverine,Coca Cola,Friends,,Sushi
602526,5,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$9 ,Spirited Away,soju,"Parents,Siblings,Friends",A little (mild),Sushi
497421,1,"Around 4, such as rice, meat, vegetables, seafood.","Weekend lunch,Weekend dinner",30-100 CAD,Jiro Dreams of Sushi,Oolong tea,"Parents,Siblings,Friends",,Sushi
289931,5,"5: Seaweed, Rice, Fish, Wasabi, Soy Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$20 ,Finding Nemo,green tea,"Parents,Friends",,Sushi
620148,2,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Your Name,Tea,"Parents,Friends",A moderate amount (medium),Sushi
387155,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",16,Once Upon a Time... in Hollywood,water,"Parents,Siblings,Friends,Strangers",,Sushi
516975,5,10,"Weekend lunch,Weekend dinner,At a party",$13 - $20 sadly,The Lord of the Rings: The Fellowship of the Ring,Iced tea,"Parents,Siblings,Friends",,Sushi
630825,2,4,"Weekend lunch,Weekend dinner,At a party",15 dollars,Transformer,Soup,Friends,,Sushi
521125,3,4,"Week day lunch,Weekend lunch,Weekend dinner,Late night snack",$5.00 ,Shark Tale,Root beer,"Siblings,Friends",,Sushi
627780,3,2,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$50 ,Bullet Train ,Sake,"Parents,Friends",,Sushi
492744,2,4-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Tokyo Story,Lemon water,"Siblings,Friends",A little (mild),Sushi
618747,3,"Rice, nori, cucumber, salmon, avocado, crab, soy sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party","Sushi can cost quite a lot sometimes if it is an omakase restaurant. For regular sushi, one box of sushi costs around $15.",Jiro Dreams of Sushi,"Sake, beer",Friends,,Sushi
607815,2,3,"Week day dinner,Weekend dinner",20 CAD,Your Name,Sake,"Parents,Friends",,Sushi
606556,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4 dollars,Doraemon,Miso Soup,"Parents,Siblings,Friends",,Sushi
724326,4,"5 (Nori, rice, cream cheese, cucumber and salmon)","Weekend lunch,Weekend dinner,At a party",$16-18,"""Naruto""",Tea,"Siblings,Friends",A little (mild),Sushi
630962,2,2,"Week day lunch,Weekend lunch,At a party",18,Jaws,Water,"Friends,Strangers",,Sushi
502799,1,4,"Week day dinner,Weekend dinner",$10 ,Rush hour,Water,Friends,,Sushi
605278,4,"5 for nigiri (rice, water, rice vinegar, wasabi, some sort of protein)","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The End of Evangelion,Tea,"Parents,Friends",,Sushi
405521,5,2,"Week day dinner,Weekend dinner",18,anime,beer,"Parents,Siblings",,Sushi
607410,2,3,At a party,$16 ,Crazy Rich Asians ,Water,Strangers,,Sushi
625326,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$1 ,Anime,Soup,"Parents,Siblings,Friends",,Sushi
627220,4,5 to 7,"Week day dinner,Weekend lunch,Weekend dinner",15 to 20 dollars,The Karate Kid,Water,"Parents,Siblings,Friends",,Sushi
634964,2,2,"Weekend lunch,Weekend dinner",$20 ,John Wick,Water,Friends,,Sushi
722500,2,3,"Week day lunch,Week day dinner,At a party",$1 ,Jiro Dreams of Sushi,apple juice,"Parents,Friends,Teachers",,Sushi
602824,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10 dollars,The Pacific,tea,"Friends,Strangers",,Sushi
618355,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",8,weathering with you,hot tea,Friends,,Sushi
611097,2,5,"Weekend dinner,Late night snack",10,Kill Bill,coke,Friends,A moderate amount (medium),Sushi
634328,5,15,"Week day dinner,Weekend dinner,At a party",$15 ,Findig Nemo,Green Tea,Strangers,A little (mild),Sushi
607160,4,7,"Week day dinner,Weekend dinner,At a party",$15 ,kill bill,sake,"Siblings,Friends",A moderate amount (medium),Sushi
728522,5,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15,Eternal Sunshine of the Spotless Mind,Hot Tea,"Parents,Friends",,Sushi
718570,4,5,"Week day dinner,Weekend lunch,Weekend dinner,At a party",10,,juice/wine,"Parents,Friends",A moderate amount (medium),Sushi
714598,2,3,"Weekend dinner,At a party",35,Cars 2,Hot tea,"Parents,Siblings,Friends",,Sushi
612478,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$14 ,My neighbour Totoro,Beer,"Parents,Siblings,Friends",,Sushi
501416,3,2~5 excluding condiments and without variety.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 or above,N/A (I don't watch a lot of movies),"Tea, uncarbonated soft drink, alcoholic beverage","Siblings,Friends,Teachers",,Sushi
502610,3,2 rice and fish. can be 3 with toppings,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack", 6$ ,tokyo drift,Water,"Parents,Siblings,Friends",,Sushi
603476,5,4,"Week day dinner,Weekend dinner,At a party",20,Oldboy,water,"Parents,Siblings",,Sushi
600957,5,8,"Week day dinner,Weekend lunch,Weekend dinner",12,The Proposal,Water,Friends,,Sushi
713423,1,"~3 to 5: sushi rice + dried seaweed + some kind of sashimi is sufficient, but maybe something more as well","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",Maybe for ~CA$10-15 for 10 simple sushis at sushi express restaurants,Spirited Away,tea,Parents,A little (mild),Sushi
722431,2,Around 6 key ingredients.,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",15$ for 10pcs.,Rurouni Kenshin.,Sake or green tea.,"Parents,Siblings",,Sushi
148179,5,5,"Week day dinner,Weekend dinner,At a party",30,,Tea,"Parents,Friends",,Sushi
715845,3,7,"Week day dinner,Weekend dinner",$17 ,Spirited Away,Green tea,"Friends,Strangers",,Sushi
632153,2,At least 3,"Week day lunch,At a party,Late night snack",At most $15,Nemo,Fish sauce,"Siblings,Friends",A moderate amount (medium),Sushi
738409,2,3,"Week day dinner,Weekend dinner",15,My Hero Academia,milk,Parents,,Sushi
612096,5,5,"Weekend lunch,Weekend dinner,At a party",7.5,Food Wars!,Green tea,"Friends,Strangers",A moderate amount (medium),Sushi
743537,3,4,"Week day dinner,Weekend dinner",3 dollars,Your Name (2016),Cold water,"Parents,Siblings",,Sushi
632896,3,I expect 6 ingredients contained in this food item.,"Week day lunch,Weekend dinner,At a party",I would expect 12 dollars for 1 serving of this food item.,I think of the movie Your Name.,I think Sake pair with this food item. ,"Parents,Siblings,Friends",A moderate amount (medium),Sushi
605207,5,4,"Week day dinner,Weekend dinner",$10 ,Bullet Train,Water,Siblings,,Sushi
719554,5,1,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,"深夜食堂

ナミヤ雑貨店の奇蹟",Miso soup,"Parents,Strangers",,Sushi
627427,3,2,"Week day dinner,Weekend dinner,At a party",$30.00 ,Liz and the Blue Bird,Green tea,"Parents,Siblings",,Sushi
631507,3,It depends on what kind… on average 5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 10 dollars per roll,Spirited Away (2001),Water,"Parents,Friends",,Sushi
627798,5,4,"Week day dinner,Weekend dinner",$11 ,Frozen,Tea,"Parents,Siblings",,Sushi
712898,2,4,"Week day dinner,Weekend lunch,Weekend dinner",20,Howl's Moving Castle,green tea,"Parents,Friends",,Sushi
603398,5,7-10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15 - 25 CAD,Suits,"I wouldn't pair a drink with sushi

Water probably",Friends,A little (mild),Sushi
631012,5,9,At a party,13,Kung Fu Panda,Water,Strangers,,Sushi
612131,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$8 ,The Wolverine,Green tea / ocha,"Parents,Siblings,Friends",A little (mild),Sushi
408630,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",3 dollars,Finding Nemo,tea,"Parents,Friends",,Sushi
632091,3,5-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8-12$ per tray,no movie,tea,"Parents,Friends",,Sushi
601122,4,5,"Week day dinner,Weekend lunch,Weekend dinner",7,The Wolverine,Sake,"Friends,Teachers",,Sushi
520828,4,3,"Week day lunch,Week day dinner,Weekend dinner",12,Isle of Dogs,Tea,"Parents,Friends",,Sushi
514199,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,,Tea,"Parents,Friends",A little (mild),Sushi
714430,4,10,At a party,9 dollars,spiderman,orange juice,Strangers,,Sushi
612567,3,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$5 ,Your Name,Matcha,Friends,,Sushi
502722,4,Around 6-7 ingredients for a sushi roll with 3-4 simple ingredients. ,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack","In Toronto, around $12-15 for a single combo of sushi.",A Silent Voice (2016),Water,Friends,,Sushi
519681,2,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",5,Everything Everywhere All At Once,Water,"Parents,Friends",,Sushi
631125,5,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15,Monsters Inc.,,Strangers,,Sushi
606119,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$1 ,Isle of Dogs,Tea,"Parents,Siblings",A little (mild),Sushi
627252,5,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$15 ,Monsters Inc.,Water,"Parents,Teachers",A little (mild),Sushi
603838,5,8,"Week day lunch,Week day dinner",20,Jiro Dreams of Sush,Green Tea,Friends,,Sushi
719735,5,"1. Rice

2. Fish","Week day dinner,Weekend lunch,Weekend dinner",$15 ,Jiro Dreams of Sushi,Hot or Iced Tea,"Parents,Siblings,Friends",,Sushi
608062,5,5,"Week day dinner,Weekend dinner",$15 ,Parasite,Water ,Friends,,Sushi
608704,5,5,"Week day dinner,Weekend dinner,At a party",$20 ,Finding Nemo,Wine,"Parents,Friends",,Sushi
520383,3,"Not very many, but it depends. Around 4.","Week day dinner,Weekend dinner","Depends on how many pieces are in a serving, but this food item is expensive.",I don't think of a movie when thinking of this food item,Sake!,"Parents,Friends",,Sushi
603933,3,5-10,Weekend dinner,80 dollars,Jiro Dreams of Sushi,juice,Friends,,Sushi
605519,4,4,"Week day lunch,Weekend lunch,Weekend dinner",10 dollars,Finding Nemo,Green Tea,Strangers,A little (mild),Sushi
524803,2,"2, or 3+","Weekend lunch,Weekend dinner",$5 ,Tokyo Story (1953),Green tea,Strangers,,Sushi
629712,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Parasite,Water,"Parents,Siblings,Friends",,Sushi
627505,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$11.00 ,Inception,Water,Friends,A moderate amount (medium),Sushi
526131,4,"I would expect it to have:

* Seawead

* Rice

* Cucumbers

* Salmon

* Avacado

* Possibly some sweet sauces","Week day dinner,Weekend dinner,Late night snack",I would expect to pay about $9 per serving. This is based on how much I usually have to pay.,"I would associate it with movie series like ""Pleasant Goat and Big Big Wolf"", as that was one of the childhood shows I watched, from the time when we could sometimes go and eat out as a family.","I would pair this item with water. It is usually not dry or dehydrating so I don't usually drink much with it, but water is more than enough.","Parents,Siblings",,Sushi
607065,4,4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",20,The Karate Kid,Wine,"Parents,Friends,Strangers",A little (mild),Sushi
633350,2,"5

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12,Your Name,Green tea ,"Siblings,Friends",,Sushi
601945,4,5,"Week day dinner,Weekend lunch,Weekend dinner",10 CAD,Wolf of Wall Street,Wine,"Parents,Friends",A little (mild),Sushi
629878,2,3 to 6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$8 to $20,Spirited Away (or any Japanese movie in general),Tea,"Parents,Friends",A lot (hot),Sushi
712766,3,Around 3-6 ingredients,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",Around 8-15 dollars for one serving,Wolverine,Tea,"Siblings,Friends",,Sushi
603664,1,2,Week day dinner,9,Jiro Dreams of Sushi,Calpis,Parents,,Sushi
604897,4,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35,Food wars,Tea,"Parents,Siblings,Friends",,Sushi
602560,4,Maybe 3 to 4 ingredients. ,"Weekend lunch,Weekend dinner",Somewhere in the late 20's or early 30's. Maybe 28 bucks. ,Some Japanese movie or some action movie. ,Maybe some cocktail like Gin Martini. ,Parents,,Sushi
738379,4,4-6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10-$50,Jiro Dreams of Sushi,Green tea or water,"Parents,Siblings,Friends",,Sushi
622023,4,5,"Week day dinner,Weekend dinner,At a party",20,Wolf of Wallstreet,Coke Zero,Friends,A moderate amount (medium),Sushi
608318,5,5-6,"Week day dinner,Weekend lunch,Weekend dinner",$8-12,Johnny English,Sake,"Siblings,Friends",,Sushi
626757,3,3,Weekend dinner,12 dollars,Fast and Furious: Tokyo Drift,Tea,Parents,,Sushi
745297,5,4,"Week day dinner,Weekend lunch,Weekend dinner,At a party",11,Karate Kid,Water,"Friends,Strangers",A little (mild),Sushi
627599,2,3,"Week day dinner,Weekend dinner,At a party",$16 ,Scary Movie 4 (2006),Water,"Parents,Siblings,Friends",,Sushi
520037,4,4,"Week day dinner,Weekend dinner",10,Finding Nemo,Beer,"Parents,Siblings",,Sushi
632189,1,3,"Week day dinner,Weekend dinner,At a party,Late night snack",2,Jiro dreams of sushi,Water,"Parents,Friends,Strangers",,Sushi
627636,4,Minimum 3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",Between $6 and $12,Monster house,Water,"Friends,Strangers",A little (mild),Sushi
295428,4,"high quality raw fish, rice, vinegar, seaweed, sesame","Week day dinner,Weekend lunch,Weekend dinner,At a party",$20 ,the big short,sake,"Parents,Siblings,Friends",,Sushi
228777,4,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",14,kill bill ,water,Siblings,,Sushi
609278,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Little Mermaid,Miso soup,"Parents,Friends",,Sushi
607517,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15,Recep Ivedik 2,Sake,"Parents,Siblings",,Sushi
716650,3,"I would say the number of ingredients varies largely based on the complexity of one's order. However, if I had to generalize, I would say about 5 ingredients.","Week day dinner,Weekend dinner",I would expect to pay upwards of $12 for one serving of this food item. ,The movie that comes to mind for this food item is the Big Short. There is one scene that is very vivid and eye-opening conversations when it comes to the fault of hedge funds during the 2008 crisis that was discussed over this food item.,I would pair water with lemon with this food item since it is usually eaten at a sit down.,"Parents,Siblings,Friends",A little (mild),Sushi
496858,4,"The simplest sushi would contain 3 ingredients: rice, seaweed, and fish. But maybe a sushi that is more complex would have avocado, tofu, cucumber, crab. So anywhere from 3-7+ ingredients. ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack","Sushi is a bit pricy sometimes depending on the seafood, so maybe around $12-17. ","I watched the harry potter series with my friends while eating sushi, so I associate sushi with harry potter.",I would eat sushi with some bubble tea!,Friends,,Sushi
608688,3,5,"Weekend lunch,Weekend dinner",$15 ,"Jiro Dreams of Sushi, East Side Sushi, Finding Nemo",Tea,Friends,A moderate amount (medium),Sushi
604386,3,3,"Week day dinner,Weekend dinner,At a party",30,Jiro Dreams of Sushi,tea,Friends,,Sushi
628559,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",20,Spirited Away,Green tea,Parents,,Sushi
629010,3,5,"Week day dinner,Weekend dinner,At a party",$10 ,Kill Bill,Lemon Water,"Parents,Friends",,Sushi
628990,4,5,"Weekend lunch,Weekend dinner",$18 ,Jiro Dreams of Sushi,Soju,Parents,,Sushi
625295,3,9,"Week day dinner,Weekend dinner,At a party",$10.00 ,Spirited away,Water,"Parents,Friends",,Sushi
603415,4,6-8,"Week day dinner,Weekend lunch,Weekend dinner",$8-14,Spirited Away,Tea,"Parents,Friends",,Sushi
629025,5,9,"Week day dinner,At a party",$20 ,squid game,water,Strangers,,Sushi
524441,4,6,Weekend dinner,$15 ,Finding Nemo,Boba,Siblings,,Sushi
409940,1,2,Weekend dinner,15$,spirited away,miso soup,"Parents,Friends",,Sushi
399605,1,3,"Weekend dinner,At a party",15,spirit away,barley tea,Friends,,Sushi
721831,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,John Wick,Sake,,,Sushi
835223,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,-,Green tea,"Parents,Siblings,Friends",A little (mild),Sushi
395712,5,4 ingredients ,"Week day dinner,Weekend dinner,At a party,Late night snack",$15 - $20,Jiro Dreams of sushi,No drink.,Friends,A little (mild),Sushi
289440,5,2,"Weekend dinner,At a party",10, Lost in Translation,tea,"Parents,Friends,Strangers",,Sushi
601094,5,"8 ingredients (nori, rice, mayo, soy sauce, fish, cucumber, avocado, sesame seeds)","Weekend lunch,Weekend dinner",$13.00 ,Spirited Away,hot tea,"Friends,Strangers",A moderate amount (medium),Sushi
618150,4,3,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$12 ,,"water, iced-tea","Friends,Strangers",A little (mild),Sushi
607944,3,4,"Week day dinner,Weekend lunch,Weekend dinner",15-20,Ponyo,Tea,"Parents,Siblings",,Sushi
626482,5,4,"Weekend dinner,At a party",20,Kung Fu Panda,,Friends,,Sushi
609257,4,3,"Week day lunch,Weekend dinner,At a party",18$,Mean Girls,Water,"Parents,Siblings,Friends",,Sushi
717921,2,10,"Week day dinner,Weekend dinner,At a party",$20 ,Girl's Trip,Water,Friends,,Sushi
181851,3,4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",15,,water,"Parents,Siblings,Friends",,Sushi
629041,2,4,"Week day lunch,At a party",14 dollars,My Neighbor Totoro,tea,Strangers,,Sushi
604062,2,Two to three.,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$2 for like a single piece of sushi?,Anime I guess,Green tea!,"Parents,Siblings",,Sushi
716749,2,4 or 5,"Week day lunch,Week day dinner,Late night snack",15-20 dollar,no,Miso Soup， tea,"Siblings,Friends",A little (mild),Sushi
